x,y1,y2,y3
0.965932,5.467357,-19.402157,4.856841
0.971743,5.520467,-19.668514,4.898789
0.977555,5.573542,-19.935254,4.940719
0.983367,5.626579,-20.202360,4.982633
0.989178,5.679577,-20.469815,5.024532
0.994990,5.732535,-20.737600,5.066418
1.000802,5.785452,-21.005698,5.108293
1.006613,5.838325,-21.274092,5.150159
1.012425,5.891154,-21.542763,5.192018
1.018236,5.943936,-21.811694,5.233870
1.024048,5.996669,-22.080866,5.275718
1.029860,6.049353,-22.350262,5.317563
1.035671,6.101985,-22.619863,5.359406
1.041483,6.154563,-22.889650,5.401249
1.047295,6.207086,-23.159606,5.443092
1.053106,6.259550,-23.429711,5.484936
1.058918,6.311955,-23.699947,5.526783
1.064729,6.364298,-23.970296,5.568634
1.070541,6.416576,-24.240738,5.610488
1.076353,6.468789,-24.511255,5.652348
1.082164,6.520933,-24.781827,5.694214
1.087976,6.573006,-25.052436,5.736086
1.093788,6.625006,-25.323062,5.777965
1.099599,6.676930,-25.593687,5.819852
1.105411,6.728777,-25.864291,5.861747
1.111222,6.780543,-26.134854,5.903650
1.117034,6.832227,-26.405358,5.945561
1.122846,6.883825,-26.675783,5.987482
1.128657,6.935336,-26.946109,6.029412
1.134469,6.986756,-27.216317,6.071351
1.140281,7.038083,-27.486387,6.113299
1.146092,7.089314,-27.756299,6.155257
1.151904,7.140448,-28.026034,6.197225
1.157715,7.191480,-28.295572,6.239202
1.163527,7.242408,-28.564893,6.281188
1.169339,7.293230,-28.833978,6.323184
1.175150,7.343943,-29.102805,6.365189
1.180962,7.394544,-29.371356,6.407202
1.186774,7.445030,-29.639610,6.449224
1.192585,7.495398,-29.907548,6.491255
1.198397,7.545645,-30.175148,6.533293
1.204208,7.595769,-30.442391,6.575338
1.210020,7.645766,-30.709257,6.617391
1.215832,7.695635,-30.975726,6.659450
1.221643,7.745370,-31.241777,6.701515
1.227455,7.794971,-31.507390,6.743585
1.233267,7.844433,-31.772545,6.785660
1.239078,7.893753,-32.037221,6.827739
1.244890,7.942929,-32.301398,6.869822
1.250701,7.991958,-32.565056,6.911907
1.256513,8.040836,-32.828174,6.953995
1.262325,8.089560,-33.090732,6.996083
1.268136,8.138128,-33.352710,7.038172
1.273948,8.186536,-33.614086,7.080261
1.279760,8.234780,-33.874841,7.122348
1.285571,8.282859,-34.134954,7.164433
1.291383,8.330768,-34.394404,7.206514
1.297194,8.378504,-34.653172,7.248592
1.303006,8.426065,-34.911236,7.290664
1.308818,8.473447,-35.168575,7.332730
1.314629,8.520646,-35.425171,7.374788
1.320441,8.567660,-35.681001,7.416838
1.326253,8.614486,-35.936045,7.458879
1.332064,8.661120,-36.190283,7.500908
1.337876,8.707558,-36.443694,7.542926
1.343687,8.753798,-36.696257,7.584931
1.349499,8.799836,-36.947953,7.626921
1.355311,8.845669,-37.198760,7.668896
1.361122,8.891294,-37.448657,7.710854
1.366934,8.936708,-37.697626,7.752793
1.372745,8.981906,-37.945644,7.794714
1.378557,9.026887,-38.192691,7.836613
1.384369,9.071645,-38.438747,7.878490
1.390180,9.116179,-38.683791,7.920343
1.395992,9.160485,-38.927803,7.962171
1.401804,9.204559,-39.170762,8.003973
1.407615,9.248399,-39.412647,8.045747
1.413427,9.292000,-39.653439,8.087491
1.419238,9.335360,-39.893117,8.129204
1.425050,9.378475,-40.131660,8.170885
1.430862,9.421341,-40.369048,8.212532
1.436673,9.463956,-40.605260,8.254143
1.442485,9.506316,-40.840277,8.295716
1.448297,9.548418,-41.074078,8.337251
1.454108,9.590258,-41.306642,8.378746
1.459920,9.631834,-41.537949,8.420198
1.465731,9.673140,-41.767979,8.461607
1.471543,9.714175,-41.996712,8.502970
1.477355,9.754935,-42.224127,8.544286
1.483166,9.795417,-42.450205,8.585554
1.488978,9.835617,-42.674924,8.626771
1.494790,9.875532,-42.898266,8.667935
1.500601,9.915158,-43.120210,8.709046
1.506413,9.954492,-43.340735,8.750100
1.512224,9.993532,-43.559823,8.791097
1.518036,10.032272,-43.777452,8.832035
1.523848,10.070711,-43.993604,8.872911
1.529659,10.108845,-44.208257,8.913724
1.535471,10.146670,-44.421393,8.954473
1.541283,10.184183,-44.632991,8.995154
1.547094,10.221381,-44.843032,9.035767
1.552906,10.258261,-45.051495,9.076310
1.558717,10.294819,-45.258362,9.116780
1.564529,10.331051,-45.463613,9.157176
1.570341,10.366955,-45.667228,9.197495
1.576152,10.402528,-45.869187,9.237736
1.581964,10.437765,-46.069471,9.277897
1.587776,10.472664,-46.268061,9.317976
1.593587,10.507222,-46.464937,9.357971
1.599399,10.541434,-46.660080,9.397880
1.605210,10.575299,-46.853471,9.437701
1.611022,10.608812,-47.045090,9.477432
